"ID","AREA_TYPE","AREA_NAME","SEX","TOTAL_POPULATION","WORKED_6_MONTHS_PLUS","WORKED_3_TO_5_MONTHS","WORKED_LESS_THAN_3_MONTHS","NO_ECONOMIC_WORK"
"82","District","Saptari","Total","566814","194030","73998","55738","243048"
"83","District","Saptari","Male","277071","125983","29810","22557","98721"
"84","District","Saptari","Female","289743","68047","44188","33181","144327"
"85","District","Siraha","Total","574691","206805","62948","55909","249029"
"86","District","Siraha","Male","273997","124572","25075","21454","102896"
"87","District","Siraha","Female","300694","82233","37873","34455","146133"
"88","District","Dhanusa","Total","672104","213312","78722","71892","308178"
"89","District","Dhanusa","Male","322890","144272","30700","27514","120404"
"90","District","Dhanusa","Female","349214","69040","48022","44378","187774"
"91","District","Mahottari","Total","548554","150549","59868","54599","283538"
"92","District","Mahottari","Male","266196","114495","24321","19779","107601"
"93","District","Mahottari","Female","282358","36054","35547","34820","175937"
"94","District","Sarlahi","Total","677569","203502","71432","64648","337987"
"95","District","Sarlahi","Male","338436","155564","30760","24322","127790"
"96","District","Sarlahi","Female","339133","47938","40672","40326","210197"
"97","District","Rautahat","Total","612064","226256","61598","52964","271246"
"98","District","Rautahat","Male","305262","160844","24373","18121","101924"
"99","District","Rautahat","Female","306802","65412","37225","34843","169322"
"100","District","Bara","Total","599011","213077","55314","51451","279169"
"101","District","Bara","Male","303939","160264","21817","18318","103540"
"102","District","Bara","Female","295072","52813","33497","33133","175629"
"103","District","Parsa","Total","519206","181264","45004","45566","247372"
"104","District","Parsa","Male","267317","145731","16975","15137","89474"
"105","District","Parsa","Female","251889","35533","28029","30429","157898"
"106","District","Dolakha","Total","147098","79721","16289","14844","36244"
"107","District","Dolakha","Male","70501","40785","6958","6451","16307"
"108","District","Dolakha","Female","76597","38936","9331","8393","19937"
"109","District","Sindhupalchok","Total","222605","113232","27384","20217","61772"
"110","District","Sindhupalchok","Male","108564","59761","12310","8812","27681"
"111","District","Sindhupalchok","Female","114041","53471","15074","11405","34091"
"112","District","Rasuwa","Total","38694","17128","5661","4690","11215"
"113","District","Rasuwa","Male","19980","10125","2506","2131","5218"
"114","District","Rasuwa","Female","18714","7003","3155","2559","5997"
"115","District","Dhading","Total","274139","140637","31312","21297","80893"
"116","District","Dhading","Male","132391","74417","13141","8842","35991"
"117","District","Dhading","Female","141748","66220","18171","12455","44902"
"118","District","Nuwakot","Total","222708","112213","24879","21212","64404"
"119","District","Nuwakot","Male","108093","61338","10013","8737","28005"
"120","District","Nuwakot","Female","114615","50875","14866","12475","36399"
"121","District","Kathmandu","Total","1788062","693552","105573","136382","852555"
"122","District","Kathmandu","Male","898352","461687","37536","49855","349274"
"123","District","Kathmandu","Female","889710","231865","68037","86527","503281"
"124","District","Bhaktapur","Total","373945","173245","23950","26748","150002"
