"ID","AREA_TYPE","AREA_NAME","SEX","TOTAL_WORKERS","ARMED_FORCES","MANAGERS","PROFESSIONALS","TECHNICIANS","OFFICE_ASSISTANCE","SERVICE_SALE_WORKERS","AGRICULTURE_FORESTRY_FISHERY","CRAFT_TRADE_WORKERS","PLANT_MACHINE_OPERATORS","ELEMENTARY_WORKERS","NOT_STATED"
"13","Ecological Belt","Hill","Total","6479495","68349","385233","297142","151936","115942","414236","3450368","308427","156210","1125979","5673"
"14","Ecological Belt","Hill","Male","3286215","61909","253936","171677","94511","61785","252222","1515961","236962","147205","487121","2926"
"15","Ecological Belt","Hill","Female","3193280","6440","131297","125465","57425","54157","162014","1934407","71465","9005","638858","2747"
"16","Ecological Belt","Tarai","Total","7465228","29770","353564","239832","115482","74142","420629","3299233","500635","234538","2190849","6554"
"17","Ecological Belt","Tarai","Male","4071197","27635","247892","150321","78334","46522","285557","1598654","424018","223917","984178","4169"
"18","Ecological Belt","Tarai","Female","3394031","2135","105672","89511","37148","27620","135072","1700579","76617","10621","1206671","2385"
"19","Province","Koshi","Total","2834088","11197","139583","91450","43716","28537","150428","1544581","149066","79037","594832","1661"
"20","Province","Koshi","Male","1474880","10378","88264","52311","27867","16891","87944","728117","123284","74635","264185","1004"
"21","Province","Koshi","Female","1359208","819","51319","39139","15849","11646","62484","816464","25782","4402","330647","657"
"22","Province","Madhesh","Total","2550446","6884","74508","75827","30895","18950","127137","1048845","179310","70097","916006","1987"
"23","Province","Madhesh","Male","1502758","6502","59733","55621","24120","14762","101287","598483","159763","67710","413371","1406"
"24","Province","Madhesh","Female","1047688","382","14775","20206","6775","4188","25850","450362","19547","2387","502635","581"
"25","Province","Bagmati","Total","3246696","46971","269463","192208","120102","90951","307346","1197426","211595","115100","694312","1222"
"26","Province","Bagmati","Male","1756854","41926","183738","113322","76442","47721","192145","539208","158443","107912","295262","735"
"27","Province","Bagmati","Female","1489842","5045","85725","78886","43660","43230","115201","658218","53152","7188","399050","487"
"28","Province","Gandaki","Total","1320194","9597","92825","56934","23250","17529","76142","681475","68150","37611","253463","3218"
"29","Province","Gandaki","Male","643757","8919","56883","29522","13456","8420","41923","285832","54640","35838","106732","1592"
"30","Province","Gandaki","Female","676437","678","35942","27412","9794","9109","34219","395643","13510","1773","146731","1626"
"31","Province","Lumbini","Total","2625925","14209","119060","80602","34857","24169","121955","1417908","144158","68578","597314","3115"
"32","Province","Lumbini","Male","1342283","13207","82207","45660","21843","13977","80158","627766","120336","65701","269645","1783"
"33","Province","Lumbini","Female","1283642","1002","36853","34942","13014","10192","41797","790142","23822","2877","327669","1332"
"34","Province","Karnali","Total","926340","7181","29761","26644","10076","6572","31054","646793","27577","9561","130299","822"
"35","Province","Karnali","Male","455458","6767","18999","16847","6247","4221","18511","288980","22599","9068","62801","418"
"36","Province","Karnali","Female","470882","414","10762","9797","3829","2351","12543","357813","4978","493","67498","404"
"37","Province","Sudur Paschim","Total","1479621","8630","46245","45025","15690","10488","56557","965357","56058","22143","252705","723"
"38","Province","Sudur Paschim","Male","700332","8105","32821","28709","9914","6971","38707","390561","44446","21155","118500","443"
"39","Province","Sudur Paschim","Female","779289","525","13424","16316","5776","3517","17850","574796","11612","988","134205","280"
"40","District","Taplejung","Total","72881","171","2009","2444","618","469","1834","54415","1534","842","8536","9"
"41","District","Taplejung","Male","38304","167","1188","1402","354","286","985","27730","1283","806","4097","6"
"42","District","Taplejung","Female","34577","4","821","1042","264","183","849","26685","251","36","4439","3"
"43","District","Sankhuwasabha","Total","110859","470","3608","4029","1157","978","3009","83666","3106","1957","12724","159"
"44","District","Sankhuwasabha","Male","60233","432","2132","2352","677","615","1671","43127","2565","1856","6752","94"
"45","District","Sankhuwasabha","Female","50626","38","1476","1677","480","363","1338","40539","541","101","5972","65"
"46","District","Solukhumbu","Total","67141","110","1329","1637","543","401","1749","52856","1324","1132","7036","24"
"47","District","Solukhumbu","Male","38020","103","833","999","326","261","1049","28635","1119","1088","3642","15"
"48","District","Solukhumbu","Female","29121","7","496","638","217","140","700","24221","205","44","3394","9"
"49","District","Okhaldhunga","Total","85069","76","1884","2616","675","474","2482","67476","1798","1236","9267","85"
"50","District","Okhaldhunga","Male","44806","74","1109","1554","376","287","1413","34301","1508","1186","4409","49"
