"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL","EARLY_CHILDHOOD","PRIMARY_LEVEL","LOWER_SECONDARY","UPPER_SECONDARY","SLC_SEE_EQUIVALENT","INTERMEDIATE_EQUIVALENT","GRADUATE_EQUIVALENT","POST_GRADUATE_EQUIVALENT","OTHER","NO_LEVEL","LEVEL_NOT_STATED"
"199","DISTRICT","Rupandehi","Total","840058","40615","232039","174591","130963","78493","112595","37778","16248","620","9141","6975"
"200","DISTRICT","Rupandehi","Male","445335","22088","121865","95303","70757","42393","57217","19567","9941","198","2925","3081"
"201","DISTRICT","Rupandehi","Female","394723","18527","110174","79288","60206","36100","55378","18211","6307","422","6216","3894"
"202","DISTRICT","Kapilbastu","Total","446190","27754","169751","97930","65888","26818","35410","10228","4337","185","4863","3026"
"203","DISTRICT","Kapilbastu","Male","240939","14906","88537","54378","37498","14536","19151","5861","2926","78","1656","1412"
"204","DISTRICT","Kapilbastu","Female","205251","12848","81214","43552","28390","12282","16259","4367","1411","107","3207","1614"
"205","DISTRICT","Dang","Total","505374","21433","147316","112872","84965","40255","57674","17318","7587","489","10624","4841"
"206","DISTRICT","Dang","Male","256749","11359","77286","57904","42494","20740","27312","8875","4955","161","3648","2015"
"207","DISTRICT","Dang","Female","248625","10074","70030","54968","42471","19515","30362","8443","2632","328","6976","2826"
"208","DISTRICT","Banke","Total","405480","21366","126566","81454","63609","32708","45956","15486","6498","663","7390","3784"
"209","DISTRICT","Banke","Male","214560","11747","67757","44298","33905","17141","22660","8331","4188","268","2582","1683"
"210","DISTRICT","Banke","Female","190920","9619","58809","37156","29704","15567","23296","7155","2310","395","4808","2101"
"211","DISTRICT","Bardiya","Total","327838","13287","92317","75871","55325","25925","29552","7768","3275","683","20314","3521"
"212","DISTRICT","Bardiya","Male","164447","7058","50219","39893","26959","13109","13600","3968","2118","207","5960","1356"
"213","DISTRICT","Bardiya","Female","163391","6229","42098","35978","28366","12816","15952","3800","1157","476","14354","2165"
"214","DISTRICT","Dolpa","Total","26649","1203","9439","4842","3693","1998","3770","640","259","3","395","407"
"215","DISTRICT","Dolpa","Male","14896","617","4843","2746","2150","1252","2290","428","194","3","192","181"
"216","DISTRICT","Dolpa","Female","11753","586","4596","2096","1543","746","1480","212","65","0","203","226"
"217","DISTRICT","Mugu","Total","39525","2254","13446","7964","6485","3068","4374","850","258","6","393","427"
"218","DISTRICT","Mugu","Male","22445","1202","7200","4425","3747","1823","2767","610","219","3","212","237"
"219","DISTRICT","Mugu","Female","17080","1052","6246","3539","2738","1245","1607","240","39","3","181","190"
"220","DISTRICT","Humla","Total","31837","1989","10492","6219","4614","2452","3943","784","310","15","761","258"
"221","DISTRICT","Humla","Male","18321","1068","5609","3535","2713","1496","2511","596","253","11","394","135"
"222","DISTRICT","Humla","Female","13516","921","4883","2684","1901","956","1432","188","57","4","367","123"
"223","DISTRICT","Jumla","Total","76653","4373","23275","15010","11606","7428","8868","2432","905","11","1486","1259"
"224","DISTRICT","Jumla","Male","42686","2279","12400","8355","6678","4361","5112","1628","717","7","522","627"
"225","DISTRICT","Jumla","Female","33967","2094","10875","6655","4928","3067","3756","804","188","4","964","632"
"226","DISTRICT","Kalikot","Total","94039","4021","28548","18820","15591","7823","14111","2091","685","17","1457","875"
"227","DISTRICT","Kalikot","Male","50937","2145","15077","10226","8304","4128","8056","1418","552","10","575","446"
"228","DISTRICT","Kalikot","Female","43102","1876","13471","8594","7287","3695","6055","673","133","7","882","429"
"229","DISTRICT","Dailekh","Total","171000","6694","54890","38187","30903","11166","18555","4252","1778","59","3040","1476"
"230","DISTRICT","Dailekh","Male","89035","3456","28574","20306","15864","5656","9634","2495","1298","15","1107","630"
"231","DISTRICT","Dailekh","Female","81965","3238","26316","17881","15039","5510","8921","1757","480","44","1933","846"
"232","DISTRICT","Jajarkot","Total","127328","5773","41079","26350","20685","9557","16696","2840","905","121","2275","1047"
"233","DISTRICT","Jajarkot","Male","67813","2929","21923","13969","10753","5050","9108","1817","724","50","969","521"
"234","DISTRICT","Jajarkot","Female","59515","2844","19156","12381","9932","4507","7588","1023","181","71","1306","526"
"235","DISTRICT","Rukum (West)","Total","114087","4582","34081","23396","19197","8429","16474","3885","1431","48","1580","984"
"236","DISTRICT","Rukum (West)","Male","59827","2424","18181","12481","9969","4338","8206","2206","1044","19","501","458"
"237","DISTRICT","Rukum (West)","Female","54260","2158","15900","10915","9228","4091","8268","1679","387","29","1079","526"
"238","DISTRICT","Salyan","Total","167957","6175","52015","39268","32282","10931","17150","3427","1372","19","3617","1701"
"239","DISTRICT","Salyan","Male","87866","3256","28378","21201","16334","5563","8569","1974","955","6","957","673"
"240","DISTRICT","Salyan","Female","80091","2919","23637","18067","15948","5368","8581","1453","417","13","2660","1028"
"241","DISTRICT","Surkhet","Total","314242","12958","92556","70040","48542","30512","35070","10196","5022","219","5931","3196"
"242","DISTRICT","Surkhet","Male","161145","6969","48539","36292","24627","16097","17096","5347","3216","87","1597","1278"
"243","DISTRICT","Surkhet","Female","153097","5989","44017","33748","23915","14415","17974","4849","1806","132","4334","1918"
"244","DISTRICT","Bajura","Total","88386","4330","29489","18737","15179","5040","9674","2374","1021","53","1679","810"
"245","DISTRICT","Bajura","Male","47511","2205","15706","9997","8251","2652","5405","1459","779","21","650","386"
"246","DISTRICT","Bajura","Female","40875","2125","13783","8740","6928","2388","4269","915","242","32","1029","424"
"247","DISTRICT","Bajhang","Total","120814","5878","42061","25870","19107","6421","13605","3308","1864","24","1774","902"
"248","DISTRICT","Bajhang","Male","65443","3071","22298","14090","10442","3367","7623","2116","1479","9","544","404"
"249","DISTRICT","Bajhang","Female","55371","2807","19763","11780","8665","3054","5982","1192","385","15","1230","498"
"250","DISTRICT","Darchula","Total","95410","4010","29278","20621","17268","6150","11461","2675","1669","20","1672","586"
"251","DISTRICT","Darchula","Male","51278","2029","15148","11076","9874","3294","6352","1567","1204","8","484","242"
"252","DISTRICT","Darchula","Female","44132","1981","14130","9545","7394","2856","5109","1108","465","12","1188","344"
"253","DISTRICT","Baitadi","Total","169459","6363","56061","35456","30627","9347","20541","3612","2385","83","3480","1504"
"254","DISTRICT","Baitadi","Male","89444","3309","28824","19287","16670","4835","10935","2186","1818","20","970","590"
"255","DISTRICT","Baitadi","Female","80015","3054","27237","16169","13957","4512","9606","1426","567","63","2510","914"
"256","DISTRICT","Dadeldhura","Total","99935","3981","32471","23193","16947","6582","9813","2303","1571","23","2589","462"
"257","DISTRICT","Dadeldhura","Male","52824","2133","17226","12507","9186","3407","5073","1394","1133","9","573","183"
"258","DISTRICT","Dadeldhura","Female","47111","1848","15245","10686","7761","3175","4740","909","438","14","2016","279"
"259","DISTRICT","Doti","Total","130467","7206","49857","30031","18683","7573","10475","2509","1463","77","1629","964"
"260","DISTRICT","Doti","Male","68386","3841","25509","15499","9607","4314","5836","1672","1128","26","511","443"
"261","DISTRICT","Doti","Female","62081","3365","24348","14532","9076","3259","4639","837","335","51","1118","521"
"262","DISTRICT","Achham","Total","149534","8029","53850","31646","23063","8502","13035","3283","1419","103","5237","1367"
"263","DISTRICT","Achham","Male","77077","4145","27538","16396","11819","4446","7118","2171","1142","31","1747","524"
"264","DISTRICT","Achham","Female","72457","3884","26312","15250","11244","4056","5917","1112","277","72","3490","843"
"265","DISTRICT","Kailali","Total","652601","31434","179643","135411","114584","46816","76359","27106","12684","712","21363","6489"
"266","DISTRICT","Kailali","Male","338542","17048","97537","71793","58754","24162","37843","14348","7913","246","6288","2610"
"267","DISTRICT","Kailali","Female","314059","14386","82106","63618","55830","22654","38516","12758","4771","466","15075","3879"
"268","DISTRICT","Kanchanpur","Total","379836","17520","105696","82310","62975","31921","45303","12798","7246","391","10289","3387"
"269","DISTRICT","Kanchanpur","Male","193202","9717","56328","42997","31300","16007","21493","6638","4510","118","2722","1372"
"270","DISTRICT","Kanchanpur","Female","186634","7803","49368","39313","31675","15914","23810","6160","2736","273","7567","2015"
"1","NATIONAL","Nepal","Total","20408124","896546","5855732","4071331","3148180","1939631","2600903","930176","441585","17761","357592","148687"
"2","NATIONAL","Nepal","Male","10845300","483824","3118550","2187299","1678156","1048920","1333878","515103","281378","7332","125330","65530"
